		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 244.125000	M = 125000	N = 8	m = 9	n = 1000000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
111110100  252  253  209  244  222  267  239  255 10.726721 0.217669 SUCCESS 142
111110110  255  233  245  228  248  225  222  255  6.318465 0.611606 SUCCESS 143
111111000  233  235  251  233  233  262  263  269  7.610649 0.472396 SUCCESS 144
111111010  240  261  243  264  250  268  257  248  6.284571 0.615389 SUCCESS 145
111111100  231  207  242  249  222  244  267  264 12.653347 0.124347 SUCCESS 146
111111110  235  246  240  265  221  238  249  265  6.657398 0.574007 SUCCESS 147

		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 244.125000	M = 125000	N = 8	m = 9	n = 1000000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001  247  251  261  247  217  254  232  240  5.702029 0.680569 SUCCESS   0
000000011  251  253  258  280  234  255  237  240  8.024784 0.431053 SUCCESS   1
000000101  252  231  237  214  252  262  273  210 15.134977 0.056573 SUCCESS   2
000000111  239  252  245  275  247  248  215  251  8.308641 0.403917 SUCCESS   3
000001001  255  239  239  247  248  265  251  205  9.354039 0.313315 SUCCESS   4
000001011  248  240  230  253  232  256  251  223  4.625915 0.796708 SUCCESS   5
000001101  252  243  256  249  240  262  255  263  4.402430 0.819113 SUCCESS   6
000001111  264  268  239  256  243  240  214  259  9.656961 0.289933 SUCCESS   7
000010001  245  225  252  264  253  243  254  205 10.726721 0.217669 SUCCESS   8
000010011  244  258  241  272  241  274  233  233  9.020402 0.340578 SUCCESS   9
000010101  256  224  231  246  242  251  259  218  7.106486 0.525189 SUCCESS  10
000010111  275  237  240  272  220  230  254  240 11.414120 0.179320 SUCCESS  11
000011001  250  273  244  256  254  236  255  252  5.732745 0.677140 SUCCESS  12
000011011  246  241  235  256  249  265  235  276  7.610649 0.472396 SUCCESS  13
000011101  217  236  240  252  232  217  252  227  8.976976 0.344242 SUCCESS  14
000011111  263  265  229  244  240  236  237  266  6.919013 0.545395 SUCCESS  15
000100011  245  228  252  263  245  261  250  227  5.475367 0.705768 SUCCESS  16
000100101  247  273  257  231  263  240  250  236  7.006924 0.535886 SUCCESS  17
000100111  239  281  241  256  228  254  270  248 10.925844 0.205936 SUCCESS  18
000101001  246  246  255  223  260  253  242  237  4.057142 0.851931 SUCCESS  19
000101011  251  223  243  256  241  247  241  252  3.074234 0.929613 SUCCESS  20
000101101  226  227  238  240  227  253  218  255  7.834134 0.449838 SUCCESS  21
000101111  259  229  262  235  233  244  242  266  6.183950 0.626635 SUCCESS  22
000110011  245  260  238  294  244  229  264  230 15.256781 0.054341 SUCCESS  23
000110101  241  248  254  241  244  259  259  232  3.057287 0.930711 SUCCESS  24
000110111  219  258  221  226  273  268  222  263 16.678184 0.033640 SUCCESS  25
000111001  239  250  244  256  241  252  257  231  2.591254 0.957340 SUCCESS  26
000111011  211  252  246  267  243  221  265  241 11.301849 0.185176 SUCCESS  27
000111101  234  249  257  232  237  245  228  240  3.252174 0.917550 SUCCESS  28
000111111  218  264  220  264  243  231  252  249  9.803126 0.279117 SUCCESS  29
001000011  261  250  224  238  238  224  242  266  7.148852 0.520661 SUCCESS  30
001000101  251  242  256  233  264  246  250  240  3.247938 0.917848 SUCCESS  31
